cnn6cequal
Initial validation accuracy: 9.09%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.09
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 15.53
Round 30 validation accuracy: 16.86
Round 35 validation accuracy: 26.70
Round 40 validation accuracy: 20.64
Round 45 validation accuracy: 29.73
Round 50 validation accuracy: 22.73
Round 55 validation accuracy: 22.35
Round 60 validation accuracy: 16.86
Round 65 validation accuracy: 28.41
Round 70 validation accuracy: 26.89
Round 75 validation accuracy: 27.65
Round 80 validation accuracy: 21.97
Round 85 validation accuracy: 24.05
Round 90 validation accuracy: 33.33
Round 95 validation accuracy: 29.92
Round 100 validation accuracy: 28.98
Round 105 validation accuracy: 28.98
Round 110 validation accuracy: 32.58
Round 115 validation accuracy: 30.49
Round 120 validation accuracy: 31.63
Round 125 validation accuracy: 23.48
Round 130 validation accuracy: 35.80
Round 135 validation accuracy: 37.31
Round 140 validation accuracy: 36.74
Round 145 validation accuracy: 16.86
Round 150 validation accuracy: 22.92
Round 155 validation accuracy: 34.09
Round 160 validation accuracy: 34.09
Round 165 validation accuracy: 35.04
Round 170 validation accuracy: 29.92
Round 175 validation accuracy: 34.47
Round 180 validation accuracy: 30.49
Round 185 validation accuracy: 24.43
Round 190 validation accuracy: 39.20
Round 195 validation accuracy: 26.70
Round 200 validation accuracy: 28.03
Round 205 validation accuracy: 30.87
Round 210 validation accuracy: 22.16
Round 215 validation accuracy: 41.48
Round 220 validation accuracy: 39.58
Round 225 validation accuracy: 39.77
Round 230 validation accuracy: 39.02
Round 235 validation accuracy: 42.05
Round 240 validation accuracy: 33.71
Round 245 validation accuracy: 26.33
Round 250 validation accuracy: 40.53
Round 255 validation accuracy: 32.58
Round 260 validation accuracy: 29.36
Round 265 validation accuracy: 35.42
Round 270 validation accuracy: 30.68
Round 275 validation accuracy: 42.80
Round 280 validation accuracy: 33.52
Round 285 validation accuracy: 43.18
Round 290 validation accuracy: 34.66
Round 295 validation accuracy: 37.12
Round 300 validation accuracy: 36.36

Initial validation accuracy: 9.09%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 8.90
Round 15 validation accuracy: 10.80
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 15.53
Round 30 validation accuracy: 19.32
Round 35 validation accuracy: 25.57
Round 40 validation accuracy: 22.54
Round 45 validation accuracy: 30.87
Round 50 validation accuracy: 31.06
Round 55 validation accuracy: 30.30
Round 60 validation accuracy: 31.25
Round 65 validation accuracy: 35.98
Round 70 validation accuracy: 34.85
Round 75 validation accuracy: 38.07
Round 80 validation accuracy: 37.88
Round 85 validation accuracy: 40.91
Round 90 validation accuracy: 43.18
Round 95 validation accuracy: 48.48
Round 100 validation accuracy: 49.43
Round 105 validation accuracy: 51.89
Round 110 validation accuracy: 53.98
Round 115 validation accuracy: 55.87
Round 120 validation accuracy: 56.63
Round 125 validation accuracy: 57.39
Round 130 validation accuracy: 58.90
Round 135 validation accuracy: 61.17
Round 140 validation accuracy: 61.55
Round 145 validation accuracy: 62.88
Round 150 validation accuracy: 65.15
Round 155 validation accuracy: 64.96
Round 160 validation accuracy: 65.15
Round 165 validation accuracy: 65.91
Round 170 validation accuracy: 65.91
Round 175 validation accuracy: 64.96
Round 180 validation accuracy: 67.23
Round 185 validation accuracy: 66.67
Round 190 validation accuracy: 65.91
Round 195 validation accuracy: 67.23
Round 200 validation accuracy: 67.05
Round 205 validation accuracy: 66.86
Round 210 validation accuracy: 67.05
Round 215 validation accuracy: 67.42
Round 220 validation accuracy: 67.61
Round 225 validation accuracy: 67.42
Round 230 validation accuracy: 67.42
Round 235 validation accuracy: 67.23
Round 240 validation accuracy: 67.05
Round 245 validation accuracy: 68.18
Round 250 validation accuracy: 67.61
Round 255 validation accuracy: 67.42
Round 260 validation accuracy: 67.42
Round 265 validation accuracy: 67.42
Round 270 validation accuracy: 67.61
Round 275 validation accuracy: 67.23
Round 280 validation accuracy: 67.23
Round 285 validation accuracy: 67.23
Round 290 validation accuracy: 67.05
Round 295 validation accuracy: 67.42
Round 300 validation accuracy: 67.05

